201401	AASP100	Introduction to African American Studies	3	Reg, P-F, Aud
201401	AASP100H	Introduction to African American Studies	3	Reg, P-F, Aud
201401	AASP101	Public Policy and the Black Community	3	Reg, P-F, Aud
201401	AASP187	The New Jim Crow: African-Americans, Mass Incarceration and the Prison Industrial Complex	3	Reg, P-F
201401	AASP200	African Civilization	3	Reg, P-F, Aud
201401	AASP202	Black Culture in the United States	3	Reg, P-F, Aud
201401	AASP202H	Black Culture in the United States	3	Reg, P-F, Aud
201401	AASP274	Creative Writing Through The Eyes of African Americans: A Beginning Workshop	3	Reg, P-F, Aud
201401	AASP297	Research Methods in African American Studies	3	Reg, P-F, Aud
201401	AASP298I	Special Topics in African American Studies; Introduction to Black Women's Studies	3	Reg, P-F, Aud
201401	AASP298Z	Special Topics in African American Studies; Jazz as a Cultural Art Form	3	Reg, P-F, Aud
201401	AASP303	Computer Applications in African American Studies	3	Reg, P-F, Aud
201401	AASP305	Theoretical, Methodological and Policy Research Issues in African American Studies	3	Reg, P-F, Aud
201401	AASP310	African Slave Trade	3	Reg, P-F, Aud
201401	AASP386	Experiential Learning	3	Reg, P-F
201401	AASP396	Independent Study Non-Thesis Option	3	Reg
201401	AASP397	Senior Thesis	3	Reg, P-F, Aud
201401	AASP398A	Selected Topics in the African Diaspora; Gender, Race, and Class in British and American Narratives (1680-1930)	3	Reg, P-F, Aud
201401	AASP398C	Selected Topics in the African Diaspora; African American Literature	3	Reg, P-F, Aud
201401	AASP398D	Selected Topics in the African Diaspora; Blues and African American Folksong	3	Reg, P-F, Aud
201401	AASP398G	Selected Topics in the African Diaspora; Gender, Labor, and Racial Identify in Diaspora Communities	3	Reg
201401	AASP398Q	Selected Topics in the African Diaspora; Black Baltimore in the Post Racial U.S: African American Urban Culture in the Age of Obama	3	Reg
201401	AASP402	Classic Readings in African American Studies	3	Reg, P-F, Aud
201401	AASP441	Science, Technology, and the Black Community	3	Reg, P-F, Aud
201401	AASP443	Blacks and the Law	3	Reg, P-F, Aud
201401	AASP478A	Humanities Topics in African American Studies; Caribbean Literature by Women	3	Reg, P-F, Aud
201401	AASP478B	Humanities Topics in African American Studies; African-American Literature: The Beginning to 1910	3	Reg, P-F, Aud
